"variable1","variable2","countries","filtered_rows","complete_pairs","excluded_missing_either","status","correlation","ci_lower","ci_upper","p_value"
"Q165","Q167","NZL",1000,689,311,"ok",0.54663886476751,0.492036185524026,0.596957625646223,6.13539817155272e-55
"Q165","Q177","NZL",1000,764,236,"ok",0.00180597754993948,-0.0691322088695042,0.0727259923907173,0.960252664676222
"Q165","Q262","NZL",1000,775,225,"ok",0.195289625330039,0.126606981044126,0.262108707260973,4.23615515287531e-08
"Q177","Q184","NZL",1000,906,94,"ok",0.0610439053112338,-0.00410359524441274,0.125675422414651,0.0662707835573056
"Q177","Q262","NZL",1000,940,60,"ok",-0.180872858014849,-0.242015735975172,-0.1182991545392,2.34781834918752e-08
"Q262","Q288","NZL",1000,875,125,"ok",-0.396429445937985,-0.450859237708015,-0.339062353736657,2.62484780975597e-34
"Q167","Q262","NZL;AUS",2000,1735,265,"ok",-0.0219397815929638,-0.0689287555416672,0.0251463238630187,0.36107621493098
"Q167","Q262","ALL",65447,59727,5720,"ok",-0.119241719193824,-0.127139950451631,-0.111328367374491,5.13857199435943e-188
