"file","bytes","megabytes"
"worldview-browser-data-v1.0.0.json",7516411,7.168
"worldview-browser-data-v1.0.0.json.gz",888644,0.847
"worldview-wave7-teaching-data-v1.0.0.csv",27511990,26.237
