"case","countries","outcome","predictors","complete_observations","events","term","estimate","standard_error","z_value","p_value","odds_ratio","or_ci_lower","or_ci_upper","aic","pseudo_r_squared","converged"
"NZL_Q167_Q165_Q260_Q262","NZL","Q167","Q165;Q260;Q262",672,182,"(Intercept)",-2.97349033413307,0.540429813825429,-5.50208418940702,3.75327640741776e-08,0.0511245567730232,0.0177261681365753,0.14744982023752,538.811806050916,0.323816515722439,TRUE
"NZL_Q167_Q165_Q260_Q262","NZL","Q167","Q165;Q260;Q262",672,182,"Q165",4.1751229505461,0.433735224546921,9.62597159340108,6.21170776820277e-22,65.0478368364401,27.7994860080817,152.205011123949,538.811806050916,0.323816515722439,TRUE
"NZL_Q167_Q165_Q260_Q262","NZL","Q167","Q165;Q260;Q262",672,182,"Q260",0.0446561980448376,0.213990533155311,0.208683054275242,0.834695669626659,1.04566829529838,0.68745593917211,1.59053420224865,538.811806050916,0.323816515722439,TRUE
"NZL_Q167_Q165_Q260_Q262","NZL","Q167","Q165;Q260;Q262",672,182,"Q262",-0.0197462415866054,0.00684820185570215,-2.88341991119373,0.00393382664415667,0.980447438528704,0.967375571533901,0.993695941890765,538.811806050916,0.323816515722439,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"(Intercept)",-1.90934985279592,0.642453045214177,-2.97196793916573,0.00295897581388581,0.148176691947722,0.0420651915983326,0.521959634612489,631.596159881529,0.307829664060295,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"Q167",4.33229124278871,0.471556652067116,9.18721265790159,4.03152222598086e-20,76.1184928663812,30.2065016630795,191.813836003763,631.596159881529,0.307829664060295,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"Q177",0.0784078123318102,0.0548518998661982,1.42944569874649,0.152876171637697,1.08156364373595,0.971319389948814,1.20432056392185,631.596159881529,0.307829664060295,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"Q260",-0.409125127975228,0.198813495259084,-2.05783378760117,0.0396060914624789,0.664231113227782,0.449871893290668,0.980730244231442,631.596159881529,0.307829664060295,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"Q262",0.0297055339364435,0.00678857913438965,4.37581021718682,1.20982244460982e-05,1.03015114473434,1.01653538420889,1.04394927858152,631.596159881529,0.307829664060295,TRUE
"NZL_Q165_FIVE_PREDICTORS","NZL","Q165","Q167;Q177;Q260;Q262;Q275",646,331,"Q275",-0.0819198412680446,0.0616741848110514,-1.32826792148156,0.184089613096527,0.921345809648204,0.816442311657383,1.03972820716883,631.596159881529,0.307829664060295,TRUE
